id,category_name
0,Analytical Jungian Psychology
1,Popular Philosophy
2,Social Group Or Collective Psychology
3,Complementary Therapies Healing Health
4,Crime Fiction
5,Puzzle Books
6,Historical Fiction
7,Children s Hobby Gaming Books
8,Individual Actors Performers
9,Primary Middle Schools
10,Mental Health Services
11,Advice On Careers Achieving Success
12,Autobiography Arts Entertainment
13,Digital Video Consumer user Guides
14,TV Tie in Humour
15,Dating Relationships Living Together Marriage
16,Popular Medicine Health
17,Sagas
18,Intergenerational Relationships
19,Clinical Psychology
20,Historical Romance
21,Computer Game Guides
22,Romance Books
23,Web Graphics Design
24,Activity Books
25,Adventure Books for Kids
26,Thriller Books
27,Graphic Novels Manga
28,Thrillers
29,Biography General
30,Autobiography General
31,Sci Fi Books for Kids
32,Fantasy Books for Kids
33,Poverty Unemployment
34,Finance Accounting
35,Trauma Shock
36,Diaries Letters Journals
37,Crime
38,Games Strategy Guides
39,Popular Psychology
40,Health Books
41,Science Fiction
42,Mind Body Spirit Meditation Visualisation
43,Fantasy Books
44,Jokes Humour
45,Classic Books for Children
46,Humour Collections Anthologies
47,Biography Arts Entertainment
48,Children s General Story Books
49,Memoirs
50,Vintage Crime
51,Abnormal Psychology
52,Cognition Cognitive Psychology
53,Graphic Novels Anime Manga
54,Personal Development
55,Management Leadership Motivation
56,Fantasy
57,Social Political Philosophy
58,Other Performing Arts
59,Psychiatry
60,Open Learning Home Learning Distance Education
61,Slang Dialect Humour
62,Military Fiction
63,Funny Books Stories
64,Assertiveness Motivation Self esteem
65,School Stories
66,Miscellaneous Items
67,Christian Life Practice
68,Psychology
69,Fiction In Translation
70,Family Relationships
71,Fiction Books
72,Adult Contemporary Romance
73,Safety In The Home
74,Romance
75,Television Film
76,Contemporary Fiction
